ROI_18_0: Coordinates of top-left corner: (x=314, y=123)
ROI_18_1: Coordinates of top-left corner: (x=301, y=128)
ROI_18_2: Coordinates of top-left corner: (x=302, y=129)
ROI_18_3: Coordinates of top-left corner: (x=313, y=120)
ROI_18_4: Coordinates of top-left corner: (x=309, y=143)
ROI_18_5: Coordinates of top-left corner: (x=302, y=118)
ROI_18_6: Coordinates of top-left corner: (x=311, y=128)
ROI_18_7: Coordinates of top-left corner: (x=315, y=129)
ROI_18_8: Coordinates of top-left corner: (x=309, y=129)
ROI_18_9: Coordinates of top-left corner: (x=312, y=126)
ROI_19_0: Coordinates of top-left corner: (x=271, y=160)
ROI_19_1: Coordinates of top-left corner: (x=276, y=169)
ROI_19_2: Coordinates of top-left corner: (x=282, y=173)
ROI_19_3: Coordinates of top-left corner: (x=277, y=156)
ROI_19_4: Coordinates of top-left corner: (x=266, y=157)
ROI_19_5: Coordinates of top-left corner: (x=277, y=151)
ROI_19_6: Coordinates of top-left corner: (x=268, y=154)
ROI_19_7: Coordinates of top-left corner: (x=286, y=155)
ROI_19_8: Coordinates of top-left corner: (x=279, y=143)
ROI_19_9: Coordinates of top-left corner: (x=279, y=166)
ROI_20_0: Coordinates of top-left corner: (x=314, y=115)
ROI_20_1: Coordinates of top-left corner: (x=305, y=128)
ROI_20_2: Coordinates of top-left corner: (x=318, y=133)
ROI_20_3: Coordinates of top-left corner: (x=320, y=135)
ROI_20_4: Coordinates of top-left corner: (x=323, y=136)
ROI_20_5: Coordinates of top-left corner: (x=321, y=132)
ROI_20_6: Coordinates of top-left corner: (x=314, y=133)
ROI_20_7: Coordinates of top-left corner: (x=305, y=140)
ROI_20_8: Coordinates of top-left corner: (x=312, y=142)
ROI_20_9: Coordinates of top-left corner: (x=327, y=144)
ROI_21_0: Coordinates of top-left corner: (x=306, y=126)
ROI_21_1: Coordinates of top-left corner: (x=301, y=110)
ROI_21_2: Coordinates of top-left corner: (x=287, y=116)
ROI_21_3: Coordinates of top-left corner: (x=294, y=129)
ROI_21_4: Coordinates of top-left corner: (x=303, y=122)
ROI_21_5: Coordinates of top-left corner: (x=288, y=117)
ROI_21_6: Coordinates of top-left corner: (x=282, y=127)
ROI_21_7: Coordinates of top-left corner: (x=291, y=128)
ROI_21_8: Coordinates of top-left corner: (x=286, y=121)
ROI_21_9: Coordinates of top-left corner: (x=286, y=117)
ROI_22_0: Coordinates of top-left corner: (x=305, y=158)
ROI_22_1: Coordinates of top-left corner: (x=303, y=158)
ROI_22_2: Coordinates of top-left corner: (x=301, y=153)
ROI_22_3: Coordinates of top-left corner: (x=305, y=168)
ROI_22_4: Coordinates of top-left corner: (x=302, y=171)
ROI_22_5: Coordinates of top-left corner: (x=324, y=169)
ROI_22_6: Coordinates of top-left corner: (x=318, y=177)
ROI_22_7: Coordinates of top-left corner: (x=312, y=180)
ROI_22_8: Coordinates of top-left corner: (x=309, y=188)
ROI_22_9: Coordinates of top-left corner: (x=306, y=179)
ROI_23_0: Coordinates of top-left corner: (x=275, y=159)
ROI_23_1: Coordinates of top-left corner: (x=266, y=163)
ROI_23_2: Coordinates of top-left corner: (x=265, y=162)
ROI_23_3: Coordinates of top-left corner: (x=269, y=158)
ROI_23_4: Coordinates of top-left corner: (x=256, y=156)
ROI_23_5: Coordinates of top-left corner: (x=253, y=159)
ROI_23_6: Coordinates of top-left corner: (x=264, y=166)
ROI_23_7: Coordinates of top-left corner: (x=260, y=168)
ROI_23_8: Coordinates of top-left corner: (x=262, y=171)
ROI_23_9: Coordinates of top-left corner: (x=265, y=159)
ROI_24_0: Coordinates of top-left corner: (x=303, y=149)
ROI_24_1: Coordinates of top-left corner: (x=313, y=151)
ROI_24_2: Coordinates of top-left corner: (x=323, y=145)
ROI_24_3: Coordinates of top-left corner: (x=319, y=152)
ROI_24_4: Coordinates of top-left corner: (x=321, y=158)
ROI_24_5: Coordinates of top-left corner: (x=320, y=159)
ROI_24_6: Coordinates of top-left corner: (x=314, y=160)
ROI_24_7: Coordinates of top-left corner: (x=321, y=156)
ROI_24_8: Coordinates of top-left corner: (x=329, y=175)
ROI_24_9: Coordinates of top-left corner: (x=326, y=167)
ROI_25_0: Coordinates of top-left corner: (x=290, y=143)
ROI_25_1: Coordinates of top-left corner: (x=275, y=140)
ROI_25_2: Coordinates of top-left corner: (x=303, y=140)
ROI_25_3: Coordinates of top-left corner: (x=300, y=157)
ROI_25_4: Coordinates of top-left corner: (x=268, y=146)
ROI_25_5: Coordinates of top-left corner: (x=302, y=131)
ROI_25_6: Coordinates of top-left corner: (x=303, y=154)
ROI_25_7: Coordinates of top-left corner: (x=293, y=155)
ROI_25_8: Coordinates of top-left corner: (x=302, y=144)
ROI_25_9: Coordinates of top-left corner: (x=307, y=136)
ROI_26_0: Coordinates of top-left corner: (x=343, y=135)
ROI_26_1: Coordinates of top-left corner: (x=328, y=131)
ROI_26_2: Coordinates of top-left corner: (x=338, y=131)
ROI_26_3: Coordinates of top-left corner: (x=338, y=133)
ROI_26_4: Coordinates of top-left corner: (x=345, y=126)
ROI_26_5: Coordinates of top-left corner: (x=338, y=133)
ROI_26_6: Coordinates of top-left corner: (x=338, y=125)
ROI_26_7: Coordinates of top-left corner: (x=337, y=129)
ROI_26_8: Coordinates of top-left corner: (x=347, y=129)
ROI_26_9: Coordinates of top-left corner: (x=330, y=125)
ROI_27_0: Coordinates of top-left corner: (x=310, y=158)
ROI_27_1: Coordinates of top-left corner: (x=319, y=161)
ROI_27_2: Coordinates of top-left corner: (x=321, y=166)
ROI_27_3: Coordinates of top-left corner: (x=322, y=156)
ROI_27_4: Coordinates of top-left corner: (x=311, y=161)
ROI_27_5: Coordinates of top-left corner: (x=311, y=154)
ROI_27_6: Coordinates of top-left corner: (x=307, y=158)
ROI_27_7: Coordinates of top-left corner: (x=305, y=142)
ROI_27_8: Coordinates of top-left corner: (x=310, y=146)
ROI_27_9: Coordinates of top-left corner: (x=312, y=149)
ROI_28_0: Coordinates of top-left corner: (x=313, y=142)
ROI_28_1: Coordinates of top-left corner: (x=312, y=159)
ROI_28_2: Coordinates of top-left corner: (x=309, y=137)
ROI_28_3: Coordinates of top-left corner: (x=300, y=144)
ROI_28_4: Coordinates of top-left corner: (x=317, y=155)
ROI_28_5: Coordinates of top-left corner: (x=311, y=152)
ROI_28_6: Coordinates of top-left corner: (x=311, y=170)
ROI_28_7: Coordinates of top-left corner: (x=309, y=151)
ROI_28_8: Coordinates of top-left corner: (x=316, y=161)
ROI_28_9: Coordinates of top-left corner: (x=305, y=156)
ROI_29_0: Coordinates of top-left corner: (x=337, y=128)
ROI_29_1: Coordinates of top-left corner: (x=333, y=120)
ROI_29_2: Coordinates of top-left corner: (x=322, y=117)
ROI_29_3: Coordinates of top-left corner: (x=335, y=127)
ROI_29_4: Coordinates of top-left corner: (x=314, y=110)
ROI_29_5: Coordinates of top-left corner: (x=325, y=117)
ROI_29_6: Coordinates of top-left corner: (x=328, y=126)
ROI_29_7: Coordinates of top-left corner: (x=335, y=119)
ROI_29_8: Coordinates of top-left corner: (x=325, y=110)
ROI_29_9: Coordinates of top-left corner: (x=335, y=120)
ROI_30_0: Coordinates of top-left corner: (x=277, y=142)
ROI_30_1: Coordinates of top-left corner: (x=268, y=149)
ROI_30_2: Coordinates of top-left corner: (x=275, y=147)
ROI_30_3: Coordinates of top-left corner: (x=286, y=154)
ROI_30_4: Coordinates of top-left corner: (x=275, y=142)
ROI_30_5: Coordinates of top-left corner: (x=286, y=150)
ROI_30_6: Coordinates of top-left corner: (x=289, y=148)
ROI_30_7: Coordinates of top-left corner: (x=294, y=158)
ROI_30_8: Coordinates of top-left corner: (x=294, y=154)
ROI_30_9: Coordinates of top-left corner: (x=282, y=141)
ROI_31_0: Coordinates of top-left corner: (x=287, y=133)
ROI_31_1: Coordinates of top-left corner: (x=290, y=147)
ROI_31_2: Coordinates of top-left corner: (x=318, y=148)
ROI_31_3: Coordinates of top-left corner: (x=296, y=150)
ROI_31_4: Coordinates of top-left corner: (x=307, y=154)
ROI_31_5: Coordinates of top-left corner: (x=317, y=160)
ROI_31_6: Coordinates of top-left corner: (x=301, y=150)
ROI_31_7: Coordinates of top-left corner: (x=297, y=142)
ROI_31_8: Coordinates of top-left corner: (x=298, y=144)
ROI_31_9: Coordinates of top-left corner: (x=291, y=136)
ROI_32_0: Coordinates of top-left corner: (x=323, y=135)
ROI_32_1: Coordinates of top-left corner: (x=317, y=123)
ROI_32_2: Coordinates of top-left corner: (x=322, y=117)
ROI_32_3: Coordinates of top-left corner: (x=308, y=111)
ROI_32_4: Coordinates of top-left corner: (x=343, y=127)
ROI_32_5: Coordinates of top-left corner: (x=333, y=118)
ROI_32_6: Coordinates of top-left corner: (x=346, y=117)
ROI_32_7: Coordinates of top-left corner: (x=331, y=135)
ROI_32_8: Coordinates of top-left corner: (x=342, y=120)
ROI_32_9: Coordinates of top-left corner: (x=321, y=121)
ROI_33_0: Coordinates of top-left corner: (x=335, y=122)
ROI_33_1: Coordinates of top-left corner: (x=329, y=126)
ROI_33_2: Coordinates of top-left corner: (x=337, y=134)
ROI_33_3: Coordinates of top-left corner: (x=334, y=120)
ROI_33_4: Coordinates of top-left corner: (x=332, y=122)
ROI_33_5: Coordinates of top-left corner: (x=337, y=135)
ROI_33_6: Coordinates of top-left corner: (x=341, y=128)
ROI_33_7: Coordinates of top-left corner: (x=336, y=129)
ROI_33_8: Coordinates of top-left corner: (x=346, y=152)
ROI_33_9: Coordinates of top-left corner: (x=361, y=162)
ROI_34_0: Coordinates of top-left corner: (x=285, y=147)
ROI_34_1: Coordinates of top-left corner: (x=283, y=163)
ROI_34_2: Coordinates of top-left corner: (x=272, y=162)
ROI_34_3: Coordinates of top-left corner: (x=281, y=179)
ROI_34_4: Coordinates of top-left corner: (x=294, y=180)
ROI_34_5: Coordinates of top-left corner: (x=294, y=164)
ROI_34_6: Coordinates of top-left corner: (x=294, y=164)
ROI_34_7: Coordinates of top-left corner: (x=283, y=168)
ROI_34_8: Coordinates of top-left corner: (x=278, y=148)
ROI_34_9: Coordinates of top-left corner: (x=267, y=153)
ROI_35_0: Coordinates of top-left corner: (x=250, y=177)
ROI_35_1: Coordinates of top-left corner: (x=276, y=182)
ROI_35_2: Coordinates of top-left corner: (x=258, y=185)
ROI_35_3: Coordinates of top-left corner: (x=262, y=200)
ROI_35_4: Coordinates of top-left corner: (x=274, y=191)
ROI_35_5: Coordinates of top-left corner: (x=253, y=172)
ROI_35_6: Coordinates of top-left corner: (x=272, y=189)
ROI_35_7: Coordinates of top-left corner: (x=251, y=178)
ROI_35_8: Coordinates of top-left corner: (x=272, y=179)
ROI_35_9: Coordinates of top-left corner: (x=265, y=190)
ROI_18_0_RIM: Coordinates of top-left corner: (x=259, y=180)
ROI_18_1_RIM: Coordinates of top-left corner: (x=262, y=182)
ROI_18_2_RIM: Coordinates of top-left corner: (x=267, y=174)
ROI_18_3_RIM: Coordinates of top-left corner: (x=278, y=183)
ROI_18_4_RIM: Coordinates of top-left corner: (x=277, y=183)
ROI_18_5_RIM: Coordinates of top-left corner: (x=282, y=178)
ROI_18_6_RIM: Coordinates of top-left corner: (x=273, y=180)
ROI_18_7_RIM: Coordinates of top-left corner: (x=285, y=186)
ROI_18_8_RIM: Coordinates of top-left corner: (x=275, y=181)
ROI_18_9_RIM: Coordinates of top-left corner: (x=273, y=176)
