Imagem;Classe;SFM_Coarseness;SFM_Contrast;SFM_Periodicity;SFM_Roughness;entropy_d1;homogeneity_d1;entropy_d2;homogeneity_d2;entropy_d4;homogeneity_d4;entropy_d8;homogeneity_d8
ROI_00_0.png;Saudável;4.971775445;23.63403493;0.7270127;2.422772682;3305.534422;36.10085145;3328.096243;22.87816325;3293.846307;16.50700163;3189.188014;15.44518029
ROI_00_1.png;Saudável;4.035577628;28.77222194;0.709075422;2.43078072;3340.980242;33.33120393;3350.622658;19.18026013;3306.103524;15.5945841;3206.39762;14.51279614
ROI_00_2.png;Saudável;4.387506117;26.09896008;0.697343328;2.438893183;3328.214558;33.65253898;3334.196002;19.37294925;3294.607649;14.55207218;3194.220172;15.06085568
ROI_00_3.png;Saudável;4.582675898;26.66604938;0.689335794;2.436966041;3340.983657;35.00474754;3345.47484;21.50790016;3310.635772;16.57130936;3200.78017;15.56227735
ROI_00_4.png;Saudável;4.420923949;26.38440229;0.712522988;2.410913686;3327.981612;34.42904037;3334.858304;19.96168731;3294.932918;16.16826722;3193.580768;14.16568884
ROI_00_5.png;Saudável;4.970797127;23.56159555;0.707472534;2.406200492;3319.591471;37.20150044;3333.745482;21.01259464;3290.873026;15.77263461;3196.086671;17.14095551
ROI_00_6.png;Saudável;5.303856014;23.30364965;0.706884783;2.473049339;3289.391979;37.62497522;3304.362643;21.21805166;3263.763735;19.65158186;3174.704508;17.60456596
ROI_00_7.png;Saudável;5.614250412;21.92094661;0.696860183;2.448612507;3279.239756;42.56389688;3285.47885;26.42474655;3256.747681;21.00855262;3158.012039;22.04695283
ROI_00_8.png;Saudável;5.358387026;23.24735461;0.704225542;2.426356632;3299.668252;38.52228282;3313.891073;23.81588441;3276.937714;18.36119793;3178.68384;20.06051974
ROI_00_9.png;Saudável;5.762404928;21.17130158;0.713785311;2.427675497;3285.194629;41.14308974;3305.645058;25.79126056;3267.128625;19.67701858;3172.858241;20.5826582
ROI_01_0.png;Saudável;5.550676764;23.14906612;0.583552399;2.531533263;3290.664312;35.03913671;3302.922715;23.57370602;3261.038424;20.39000899;3159.351521;19.07694013
ROI_01_1.png;Saudável;5.292110748;23.58188252;0.580341218;2.522377323;3312.948112;33.4196573;3314.391462;22.3424475;3281.593188;18.70694779;3178.300335;17.66279919
ROI_01_2.png;Saudável;6.506535407;20.82585639;0.569243258;2.582259577;3258.38926;38.3317813;3264.038844;29.52920332;3236.287287;22.68906322;3144.326752;21.59510311
ROI_01_3.png;Saudável;5.804307811;22.50705302;0.612969369;2.545008094;3266.05568;34.41866363;3290.799456;24.5015506;3249.077363;20.85582189;3160.426095;20.71078018
ROI_01_4.png;Saudável;4.887409263;27.38875474;0.673396937;2.522599113;3293.308699;32.75724819;3307.46566;22.34151792;3263.15263;17.3641879;3167.891252;17.71425269
ROI_01_5.png;Saudável;5.607064151;23.98951011;0.598382905;2.57796943;3259.828963;34.44678103;3277.867029;22.74842276;3244.980671;20.25145758;3143.103061;22.21492153
ROI_01_6.png;Saudável;6.108336038;21.3777726;0.582839432;2.556579559;3272.671608;39.30043969;3286.79601;24.90133884;3245.766635;21.27334576;3152.043431;21.66021185
ROI_01_7.png;Saudável;7.083517732;18.73341908;0.463582817;2.634307492;3258.56656;39.00735501;3268.733357;27.63495308;3232.370035;26.22226708;3137.68497;22.80666232
ROI_01_8.png;Saudável;5.351258982;24.2509553;0.620032299;2.517969991;3291.476294;38.2455019;3298.914417;24.60467497;3266.464038;19.64658824;3164.093009;20.4262653
ROI_01_9.png;Saudável;6.286235497;20.80940719;0.602536962;2.536492434;3244.135829;42.53055422;3266.807561;26.27744295;3231.83991;23.9103279;3148.105229;20.08550469
ROI_02_0.png;Saudável;6.203355216;20.35115676;0.59858712;2.49396104;3283.546322;39.0072067;3291.718452;24.96883587;3257.813259;22.40098319;3157.487047;21.06095121
ROI_02_1.png;Saudável;7.035401474;17.93765809;0.552656417;2.554644617;3250.900043;42.18748421;3259.636062;27.75379556;3226.21376;24.56855863;3134.666419;25.21792369
ROI_02_2.png;Saudável;5.285222092;24.12981185;0.640730736;2.485396495;3284.603268;38.92279163;3294.505219;24.60246509;3255.30464;20.78859179;3157.822905;23.07563652
ROI_02_3.png;Saudável;6.035150299;20.08818619;0.564128034;2.525457123;3311.460518;36.21404787;3319.359695;24.04427203;3284.569899;19.77139942;3181.898708;19.4683267
ROI_02_4.png;Saudável;5.296001934;24.14010075;0.603080067;2.512118115;3315.370012;36.7221555;3316.756181;22.42427052;3276.857835;19.83079493;3175.931424;17.49783646
ROI_02_5.png;Saudável;5.909929682;20.89352387;0.523765984;2.539932973;3290.395347;35.74406051;3298.375157;25.29997396;3258.573104;20.35612039;3159.836489;20.07524097
ROI_02_6.png;Saudável;6.392229621;20.19236681;0.478982554;2.590124219;3296.839438;35.68540062;3304.348951;25.24630168;3266.018798;21.79173683;3166.931369;21.25992224
ROI_02_7.png;Saudável;7.627753499;16.54701243;0.59399365;2.51813616;3174.092487;46.9104143;3204.164355;33.19585726;3179.207768;26.08098248;3092.616431;25.16565437
ROI_02_8.png;Saudável;4.829123227;24.31358421;0.678122329;2.448485398;3292.943693;37.15326279;3306.657226;23.55090672;3274.422449;19.38389541;3181.312276;16.78317767
ROI_02_9.png;Saudável;7.209382299;18.00662683;0.566674164;2.565670318;3195.480397;45.04883314;3229.970889;28.89705272;3201.068396;24.40416348;3112.071705;26.52851362
ROI_03_0.png;Saudável;5.494581001;22.99059451;0.608038686;2.52984094;3301.502299;37.6614389;3304.11583;23.48955823;3281.714878;19.52712249;3180.358575;20.3058551
ROI_03_1.png;Saudável;5.934805033;22.42789795;0.506610455;2.607817447;3321.616666;32.39762472;3319.537471;22.95450979;3284.771604;21.89535526;3183.591637;20.56826373
ROI_03_2.png;Saudável;5.051296835;25.52664907;0.59937069;2.507541763;3305.320571;35.85977331;3316.631393;23.19809924;3275.750723;18.7935178;3175.451563;17.89196291
ROI_03_3.png;Saudável;5.398281484;22.99153369;0.65432433;2.511872071;3308.484108;37.66728931;3324.144345;23.66592169;3284.804003;19.40680771;3186.37022;18.65854773
ROI_03_4.png;Saudável;5.090560336;24.38119021;0.640361339;2.485755377;3325.619428;38.29502835;3332.071762;24.36540151;3295.347185;18.54211361;3191.145114;17.21274127
ROI_03_5.png;Saudável;4.309878744;27.38657107;0.714156984;2.424270065;3327.183973;37.03692496;3331.498599;21.20017713;3300.696021;15.94938858;3193.904255;15.47440976
ROI_03_6.png;Saudável;6.268605409;20.75904686;0.510700522;2.591356159;3223.98968;38.89588615;3239.675752;28.59572492;3210.451663;24.12861902;3121.326299;23.32873649
ROI_03_7.png;Saudável;5.601890674;23.02508292;0.612091301;2.532022963;3325.241283;37.01169489;3329.237894;26.18592243;3287.012858;20.17268839;3183.841051;19.54541403
ROI_03_8.png;Saudável;4.971814728;24.78514672;0.63369037;2.46714293;3316.483442;35.17319781;3333.585142;23.65148597;3291.985556;19.29785531;3187.351614;17.47621259
ROI_03_9.png;Saudável;6.214976908;21.16162156;0.610413022;2.537799009;3290.179577;38.33057351;3296.952575;25.61020869;3270.02224;22.46510178;3171.365367;19.39572171
ROI_04_0.png;Saudável;6.013912391;21.72693028;0.556513736;2.557371059;3308.287573;36.80738731;3303.284487;23.83317811;3268.458211;20.64162103;3176.147189;19.63633878
ROI_04_1.png;Saudável;6.352702156;20.04050132;0.541865977;2.544346402;3293.069589;36.3465476;3301.55999;23.03639497;3263.378885;20.74389249;3169.480767;21.73199886
ROI_04_2.png;Saudável;6.58199512;19.21955423;0.56285453;2.549808285;3278.287811;40.06538201;3283.571715;27.55287622;3250.120923;22.32057234;3159.111376;22.77377669
ROI_04_3.png;Saudável;5.069985213;24.24719448;0.587560727;2.504098546;3334.657644;30.63309209;3345.290055;20.21586073;3298.018038;17.2994641;3196.683097;15.81722885
ROI_04_4.png;Saudável;5.681134863;22.59538429;0.57849887;2.501951226;3315.61103;35.24605205;3318.146185;23.78622078;3285.696864;20.64588578;3184.8073;18.6827066
ROI_04_5.png;Saudável;6.006973162;20.742054;0.578399476;2.495575385;3285.057776;34.78943421;3299.288203;24.40912527;3266.729037;20.12698655;3165.597393;20.44065615
ROI_04_6.png;Saudável;5.71729007;21.72032315;0.580051432;2.541451141;3311.830653;34.04644967;3325.237738;22.65007481;3283.639355;19.11142624;3184.563083;18.02409863
ROI_04_7.png;Saudável;5.99635319;21.57318333;0.548687174;2.522764173;3304.225193;36.21131114;3310.49055;22.80961479;3271.768875;20.94326841;3172.563044;18.554643
ROI_04_8.png;Saudável;4.897285308;25.66769211;0.63989406;2.441751475;3298.784412;36.89372621;3312.862664;26.2404259;3278.796572;18.72621567;3181.630753;17.24425263
ROI_04_9.png;Saudável;4.677821098;27.4982826;0.626702451;2.459672854;3317.751739;36.35390963;3320.294939;23.58792947;3282.674428;17.17493576;3179.25374;16.81173689
ROI_05_0.png;Saudável;8.704332421;15.4192345;0.538877628;2.583034476;3179.933266;46.96071838;3192.585722;34.57383912;3164.319487;29.41672022;3081.272473;29.87935148
ROI_05_1.png;Saudável;7.939662174;16.19447432;0.567099372;2.574544653;3212.539754;47.68292226;3238.309053;29.96520272;3197.713955;25.68345204;3110.591133;28.5717113
ROI_05_2.png;Saudável;9.100372781;14.87592225;0.567250792;2.568439789;3150.70192;49.36511624;3178.109942;34.27626203;3156.650799;30.29177338;3077.150738;29.78569109
ROI_05_3.png;Saudável;7.466691317;16.21117817;0.616097498;2.490510417;3196.80855;49.20888846;3220.068836;31.6208635;3196.594649;24.72285761;3111.2937;27.34429387
ROI_05_4.png;Saudável;7.045862597;18.64452369;0.576409451;2.554478937;3270.660243;41.17991115;3283.91354;26.71915677;3242.048754;23.3866409;3150.085561;23.79073017
ROI_05_5.png;Saudável;9.726904531;14.00940045;0.567307144;2.577996773;3112.646463;58.02550472;3136.107828;42.5874717;3116.925216;37.13328872;3026.672078;34.68100442
ROI_05_6.png;Saudável;8.445987179;15.49629443;0.560495852;2.560122447;3171.554418;49.18281398;3206.854767;34.52898664;3180.85875;28.8438312;3091.154941;27.62982825
ROI_05_7.png;Saudável;6.392181421;19.87923871;0.653841392;2.530030363;3272.268842;41.36012675;3284.07785;26.61642214;3255.875973;20.49628466;3156.439506;20.34005929
ROI_05_8.png;Saudável;7.943139054;16.77173014;0.553986438;2.609316413;3203.268642;42.76269518;3221.767557;28.51686201;3182.692371;27.03481178;3099.831842;27.35708221
ROI_05_9.png;Saudável;7.700864164;15.63352374;0.608844995;2.485827533;3174.72106;52.53877383;3201.813624;34.00100242;3185.268444;25.17279287;3102.140164;25.95647756
ROI_06_0.png;Saudável;10.95285502;12.83710825;0.590571848;2.567103215;3073.583864;57.56381245;3121.141374;41.1137707;3085.580053;37.21565048;3015.359794;37.66756124
ROI_06_1.png;Saudável;8.162395605;16.2840036;0.641437622;2.532062891;3191.989188;50.84795658;3224.258388;35.34425622;3193.959258;28.47048582;3109.853111;28.01091817
